Name,Position,Price,Quality,Service,Space,ZAvg_Score
Quỳnh Béo - Xôi Nóng & Các Món Ăn Vặt,7.5,8.3,8.5,8.2,7.5,8.0
All Blue - Nhà Hàng Xiên Nướng Nhật Bản,8.7,9.7,9.7,8.7,9.0,9.1
Savor - Bánh Mì & Trà Sữa - Trần Phú,6.5,5.0,1.0,4.0,6.5,4.6
Nhà Hàng Lẩu Pháp & Bún Thái Hải Sản,6.2,6.4,5.6,5.5,5.8,5.9
Home Mộc - Vietnammes Restaurant,8.0,8.0,9.0,9.0,9.0,8.6
Phadin Coffee - Nguyễn Tuân,10.0,10.0,10.0,10.0,10.0,10.0
Híp Quán - Bún Bung Dọc Mùng & Bún Đậu Mẹt,7.0,7.3,8.3,8.0,7.3,7.6
Tiệm Bánh Tráng Trộn - Giáp Nhất,9.5,9.6,9.4,9.5,8.9,9.4
La Vanille Paris - Vincom Bà Triệu,10.0,7.0,10.0,10.0,9.0,9.2
Bánh Cuốn & Nem Hải Sản - Nghĩa Đô,7.3,7.3,7.0,7.3,7.0,7.2
Lá Studio Cafe,6.8,7.8,8.5,8.5,7.7,7.9
San Hô Đỏ,7.2,7.8,8.0,7.0,7.6,7.5
Lươn Quán - Hoàng Ngọc Phách,7.0,7.7,8.0,6.9,6.5,7.2
Cộng Cà Phê - Mỹ Đình,7.0,5.7,6.2,6.3,6.9,6.4
Phở Gà Bún Thang - Đào Tấn,5.8,5.5,5.0,5.5,4.8,5.3
Bami Bread - Chùa Láng,7.2,6.8,7.2,6.9,6.4,6.9
Thu Hà - Bánh Bao & Sữa Đậu,7.0,7.0,8.0,7.0,7.0,7.2
Rau Má Lá - Đội Cấn,7.0,7.3,6.8,6.8,6.0,6.8
Huyền Béo - Bánh Mì Sốt Vang,9.0,10.0,8.0,7.0,7.0,8.2
Bánh Mì Sốt Vang Bít Tết,9.0,6.0,6.0,6.0,5.0,6.4
Bún Bò Nam Bộ & Bún Chả - Hoàng Ngọc Phách,7.5,7.3,7.5,7.5,6.8,7.3
Bánh Mì Hà Nội - Dốc Viện Phụ Sản,7.0,9.0,10.0,10.0,7.0,8.6
"Minh Phương - Bún Mọc, Bún Đậu & Bánh Mì Sốt Vang",5.0,10.0,10.0,10.0,5.0,8.0
Bún Dọc Mùng - Bát Đàn,7.1,6.9,7.1,6.6,6.3,6.8
Bình Xeko - Lẩu Thái,7.4,8.1,7.9,7.4,6.8,7.5
3 Anh Em - Cơm Rang Đùi Gà & Phở Xào,7.1,9.9,9.9,8.7,7.1,8.5
Bún Riêu Cô Hoàn Hàng Lược,8.3,6.3,7.0,7.7,8.3,7.5
Gyu-Kaku Japanese BBQ - Discovery Complex,7.1,6.0,6.3,5.2,6.4,6.2
Phở Hà Nội,7.3,6.7,8.3,8.7,8.0,7.8
Quỳnh Béo 1 - Bò Nướng - Phó Đức Chính,5.0,4.8,6.0,5.3,4.8,5.2
"Phương Béo - Sinh Tố, Nước Ép",10.0,10.0,10.0,10.0,10.0,10.0
Quán Của Minh Coffee,7.0,7.6,8.4,8.8,9.1,8.2
Thanh Nga - Bún Bò Huế & Bánh Canh Ghẹ,8.3,7.0,6.7,7.7,8.0,7.5
Tiger Sugar Delivery - Đường Nâu Sữa Đài Loan - Tạ Quang Bửu,7.3,7.3,7.3,7.3,6.5,7.1
Chicken Garden - Cơm Gà Hải Nam,9.4,9.4,9.8,10.0,10.0,9.7
Texas Chicken - Aeon Mall Hà Đông,6.9,7.4,7.9,7.9,7.4,7.5
Quán Xôi Lan Béo - Thanh Bình,9.5,10.0,10.0,10.0,8.0,9.5
Chai Talay - Thai Restaurant,7.5,6.4,6.2,6.3,7.0,6.6
GoGi House - Nướng Hàn Quốc - Big C Thăng Long,7.6,6.8,7.4,6.8,7.3,7.2
Lẩu Nấm Ashima - Điện Biên Phủ,8.5,7.6,8.3,8.2,8.1,8.1
Cô Luyến - Bún Riêu Cua,7.7,8.3,8.0,8.3,8.3,8.1
98 Coffee,10.0,10.0,10.0,10.0,10.0,10.0
La'Bou Kitchen - Dessert Cafe - Chùa Láng,6.0,7.0,8.0,8.0,8.0,7.4
YiFang - Taiwan Fruit Tea - Thanh Niên,7.1,6.7,6.6,6.8,6.4,6.7
The G.A Bakery - Lương Thế Vinh,8.6,7.8,7.7,8.0,8.0,8.0
Mộc Juice - Sinh Tố & Nước Ép Hoa Quả,7.8,7.0,7.8,7.3,6.5,7.3
Nhân Sushi Hà Nội - Ẩm Thực Nhật Bản - Nguyễn Thị Định,8.9,7.6,8.7,8.0,8.9,8.4
Nhân Sushi Hà Nội - Ẩm Thực Nhật Bản,8.2,6.9,8.5,8.3,8.4,8.1
Hoàng Thực - Hoa Quả Dầm,6.5,6.5,7.5,7.0,7.5,7.0
Hub De Tana Cafe,8.0,6.8,6.2,6.6,8.2,7.2
Quẩy Béo - Nguyễn Khang,6.8,7.9,6.8,6.5,5.8,6.8
Phở Gà Ta - Khương Đình,4.5,5.0,3.5,1.0,4.5,3.7
"Bà Thoa - Xôi, Bánh Bao & Bánh Chưng Rán",10.0,9.0,10.0,10.0,9.0,9.6
Gemini Coffee - Đội Cấn,6.4,6.6,5.9,6.6,6.9,6.5
Tiệm Mì Tươi Ramen2go,7.8,8.4,8.6,9.0,8.0,8.4
Vuvuzela Beer Club - Nguyễn Trãi,8.0,8.4,9.1,9.3,8.8,8.7
Ding Tea - Chùa Láng,7.5,6.8,7.0,7.0,6.9,7.0
Miến Lươn 121,7.6,8.4,9.2,7.8,5.2,7.6
Hải Sản Phố Cổ - Hải Sản & Nem Nướng Nha Trang,8.2,5.7,6.0,6.1,5.9,6.4
Pô's Cake - Bông Lan Trứng Muối & Khô Gà Online,7.3,7.2,7.6,7.8,6.9,7.3
Bami 26 - Bánh Mì Sốt Vang,6.7,8.7,8.3,9.3,8.3,8.3
Thuỷ Tiên’s Das Shop - Ăn Vặt Keto Online,6.5,6.9,7.0,7.6,6.7,6.9
Sữa Chua Trân Châu Hạ Long - Lý Thường Kiệt,8.0,7.0,7.0,7.0,6.0,7.0
1990 - Tiệm Trà Chanh,10.0,10.0,10.0,10.0,10.0,10.0
Cine Cafe - Cafe Phim Xã Đàn,7.0,7.5,7.8,8.0,8.1,7.7
Bò Tơ Quán Mộc - Hà Đông,7.2,4.6,5.6,5.6,6.6,5.9
HiKaRi - Thức Uống & Đồ Ăn Nhanh,9.0,9.0,8.0,8.0,8.0,8.4
Tanka Quán - Chân Gà & Cánh Gà Nướng - Nguyên Hồng,7.8,8.6,8.5,8.3,7.5,8.1
Quán Nướng Trung Kính,7.0,7.0,7.0,5.0,5.0,6.2
Mai Huy Bakery - Đội Cấn,7.0,6.9,4.9,6.0,5.6,6.1
Trang Ốc Quán,7.2,7.0,7.3,7.1,6.4,7.0
Huyền Ngân Bakery - Lê Lợi,1.0,1.0,1.0,1.0,1.0,1.0
Chim Quay Văn Quán,6.6,6.0,6.2,5.0,6.0,6.0
Mì Tay To - KĐT Nam Trung Yên,6.9,6.6,6.7,7.5,7.2,7.0
Phở Thanh Hà - Lạc Trung,7.1,7.2,7.2,6.1,6.2,6.8
HN Dimsum Hong Kong - Đức Giang,8.5,8.7,8.8,8.4,8.1,8.5
Chusa - Vietnamese Cuisine,9.3,8.8,8.6,8.8,8.5,8.8
Ốc Làng Ta - Hàm Nghi,8.9,8.9,9.1,8.9,8.5,8.8
Hương Bình - Lươn Xứ Nghệ,5.6,5.6,6.5,6.0,5.8,5.9
Hoàng Lan - Lòng Lợn Góc Bếp,8.7,8.8,9.0,8.3,8.3,8.6
Anh Hòa French Bakery - Trường Chinh,7.3,7.2,7.3,7.3,7.2,7.3
Lẩu Bảo Sang - Hoàng Hoa Thám,5.3,6.5,5.3,4.5,6.0,5.5
Bún Hải Sản Ngon - Nguyễn Đổng Chi,8.0,9.0,9.0,9.0,8.0,8.6
Nộm Bò 1982,5.0,1.0,5.0,1.0,1.0,2.6
Hà Thảo - Nem Nướng Nha Trang - Hàng Bồ,9.4,9.3,9.4,9.1,9.1,9.3
Trang Coffee - Đỗ Quang,8.7,9.0,9.0,8.3,8.0,8.6
Bánh Gà Bá Gành - Lương Định Của,7.2,8.0,7.6,7.5,6.9,7.4
Xuân Hưng - Bánh Tráng Cuốn Thịt Heo,6.0,8.0,6.0,6.0,5.0,6.2
Cô Hường - Thịt Quay & Các Món Ăn Cơm,8.0,8.0,8.0,8.0,8.0,8.0
Ngan Phố - Ngan 10 Món - Duy Tân,7.3,6.7,7.3,7.3,6.7,7.1
Chi - Xôi & Cơm Đảo,8.0,7.5,8.0,7.0,7.0,7.5
Tiệm Bánh N.Cake - Shop Online,10.0,9.0,9.0,10.0,7.0,9.0
Lim Dim Restaurant - Ẩm Thực Châu Á,6.5,6.5,6.5,6.5,6.5,6.5
French Grill Restaurant - JW Marriott Hotel Hanoi,7.9,7.0,9.1,9.1,8.9,8.4
Hằng Béo - Lẩu Hải Sản,7.0,7.0,7.0,7.0,7.0,7.0
El Vino Wine & Restaurant,9.3,8.8,8.8,9.5,9.0,9.1
Bánh Xèo & Nem Lụi - 140 Đội Cấn,7.2,8.4,6.4,6.6,5.8,6.9
Hưng Phát - Tiệm Mì & Hủ Tiếu,8.5,8.1,8.0,7.2,7.6,7.9
Ốc Trang - Lê Hồng Phong,7.6,7.4,7.4,7.2,7.3,7.4
Lotteria - Royal City - HN,7.1,6.7,7.0,6.7,7.0,6.9
Hanoi Bento - Sushi & Cơm Văn Phòng Nhật,9.0,9.5,9.5,9.5,8.5,9.2
Quang Steak - Ô Chợ Dừa,9.4,8.2,7.6,7.6,7.8,8.1
Fuurin Cafe - Phan Kế Bính,7.0,7.5,7.0,7.5,9.0,7.6
Năng Cafe - 45 Nguyễn Hữu Huân,8.0,7.9,8.3,7.0,8.1,7.9
Yi Hotpot,10.0,10.0,10.0,10.0,10.0,10.0
Thịt Xiên Nướng - Hàm Long,8.0,8.7,8.5,7.8,6.7,7.9
Tuyết Béo - Bánh Rán Nóng,10.0,8.0,10.0,7.0,7.0,8.4
Linh Kute Cafe,8.4,9.0,8.3,7.4,6.9,8.0
"Tony's Coffee, Flowers & More",9.2,8.7,8.6,8.3,8.8,8.7
Bếp Nhà Bông - Cơm Văn Phòng Online - Minh Khai,2.0,1.0,1.0,1.0,2.0,1.4
Tiệm Chè Lele - Shop Online,7.5,8.6,8.9,8.6,8.3,8.4
Anh Vũ - Bánh Cuốn Nóng,3.0,1.0,1.0,2.0,1.0,1.6
Phúc Long Coffee & Tea - Golden Palm,7.0,7.0,7.0,1.0,9.0,6.2
Nem Chua Chế Linh - Shop Online,6.7,7.6,7.5,7.5,5.9,7.0
A1 - Korean BBQ & Hotpot,4.5,4.5,4.5,4.5,4.5,4.5
Miến Lươn - Giảng Võ,7.0,7.0,7.0,7.0,7.0,7.0
Trà Sữa LeeTee - Xã Đàn,7.8,6.9,7.3,7.5,7.5,7.4
Kim Cafe - Thanh Xuân Bắc,6.8,8.6,7.8,8.2,7.6,7.8
"Phương Hồng - Miến Lươn, Bún Cá",6.5,8.0,8.0,8.5,5.5,7.3
Bún Đậu Cô Châu - Trần Hưng Đạo,5.0,5.0,1.0,4.0,5.0,4.0
Cơm Rang Dũng Béo - Lĩnh Nam,3.0,4.0,5.0,5.0,6.0,4.6
GA Rau Má & Súp Cua Trứng Bắc Thảo,8.5,8.3,7.8,8.2,8.1,8.2
Sweet Rose Coffee,9.2,8.7,9.1,8.6,9.1,9.0
Lotteria - Lotte Center - HN,7.4,7.0,6.6,6.5,6.9,6.9
Bún Chả Cô An - Khâm Thiên,7.3,8.5,8.6,8.5,6.8,7.9
Trà Sữa Tocotoco - Phố Nhổn,7.1,7.1,7.3,7.0,7.3,7.2
Nhà Hàng 559 - Gà Tươi Mạnh Hoạch,6.0,9.0,8.0,8.0,8.0,7.8
Steak Me - Bít Tết,7.0,7.2,7.1,7.5,7.3,7.2
Đông Béo - Bò Nhúng Dấm - Xã Đàn,7.7,6.3,7.0,7.0,7.7,7.1
Zun Kun's Coffee - Trích Sài,8.0,8.0,8.0,8.0,8.0,8.0
"Bánh Cuốn Nóng, Gà Tần & Bún Chả - Lạc Long Quân",5.6,5.2,4.2,5.0,5.6,5.1
Lẩu Đức Trọc - Phó Đức Chính,7.1,6.8,6.8,6.8,6.9,6.9
Vịt Quay Chính Anh - Shop Online,10.0,10.0,10.0,10.0,10.0,10.0
Daluva - Ẩm Thực Âu & Ý,7.3,6.9,6.8,7.3,7.5,7.2
Dũng Hạnh - Bánh Mì Giò Chả - Nguyên Hồng,7.1,7.3,6.3,6.4,6.0,6.6
Bánh Tráng Trộn Sài Gòn - Chùa Láng,7.2,7.4,7.0,6.3,6.5,6.9
Hutong - Hot Pot Paradise - Giảng Võ,8.8,8.6,8.6,8.4,8.8,8.6
Phở Lý Quốc Sư - KĐT Mỗ Lao,8.0,7.0,8.0,6.0,6.0,7.0
Phở Lý Quốc Sư - KĐT Văn Quán,5.8,6.7,5.5,6.3,5.7,6.0
Bánh Đa Trộn - Dốc Thọ Lão,6.5,8.3,7.5,7.4,6.3,7.2
"Xôi, Bánh Bao & Đồ Ăn Vặt - Quán Thánh",6.5,6.5,6.0,6.5,6.0,6.3
Lẩu Wang - Vua Buffet Lẩu - Dịch Vọng Hậu,7.9,8.2,7.7,7.5,7.7,7.8
Bánh Cuốn Cao Bằng - Trần Vỹ,7.0,7.0,8.0,7.0,6.0,7.0
Xôi Xéo - Ngã 3 Ngọc Hồi,8.0,9.0,8.0,8.0,5.0,7.6
Bún Cá & Bánh Đa Cá Rô,6.0,9.0,9.0,8.0,8.0,8.0
Bánh Cuốn Nóng Làng Nghề,7.0,7.0,8.0,8.0,7.0,7.4
Phở Bò Tứ Hải - Ngõ Văn Chương,8.0,9.0,7.0,8.0,7.0,7.8
Feeling Tea High - Indochina Plaza,7.9,6.8,6.9,7.5,8.4,7.5
Bánh Đúc Nóng & Miến Trộn - Lê Ngọc Hân,6.2,7.6,7.3,6.5,5.7,6.6
Tuyết - Bia Hơi Hà Nội,8.0,8.0,8.0,10.0,8.0,8.4
Quân Trường - Bia Hơi Hà Nội,7.5,8.0,7.5,7.5,6.0,7.3
Bia Hơi Hải Xồm - 22 Tăng Bạt Hổ,7.1,5.9,6.0,6.6,6.9,6.5
Cường Nga - Bia Hơi Hà Nội,9.0,9.0,8.0,8.0,7.0,8.2
Nam An Quán - Ẩm Thực Huế,7.4,6.6,7.5,7.3,7.0,7.2
Xôi Yến Anh - Đào Tấn,6.4,5.0,5.9,5.6,5.3,5.6
Mì Cá Sakami - Liễu Giai,8.0,6.0,6.7,7.3,6.7,6.9
Tiệm Cô Trang - Bánh Trà Sữa & Bông Lan Trứng Muối Online,7.6,7.9,7.9,7.9,6.9,7.6
Cơm Gà Đặc Biệt - Cầu Vồng,1.0,1.0,1.0,1.0,1.0,1.0
Mơ Phố Coffee,5.5,7.5,6.5,7.5,6.5,6.7
Phở 360,8.0,7.8,8.4,7.9,8.1,8.0
Nét Huế - Vincom Nguyễn Chí Thanh,8.0,7.5,8.0,8.0,8.0,7.9
Bò Nướng Tảng - Tô Hiến Thành,7.4,6.8,8.1,8.4,7.6,7.7
Bún Đậu Mẹt - Phan Huy Ích,7.7,6.5,7.4,6.8,6.6,7.0
Hoa Quả Dầm - Trần Hưng Đạo,7.7,7.4,8.0,7.9,7.2,7.6
Trà Sữa Tocotoco - Trương Định,6.5,6.3,5.6,6.0,6.5,6.2
Chef Dzung - BBQ & Hotpot Buffet,7.6,7.1,7.8,7.4,7.5,7.5
"Ẩm Thực Em - Bánh Mì, Xôi, Phở & Đồ Ăn Vặt - Nguyễn Xiển",4.0,1.0,1.0,1.0,3.0,2.0
Sữa Chua Trân Châu Hạ Long - Yên Phụ,9.0,8.7,8.3,8.7,8.5,8.6
"XINYI - Cơm Vịt Quay, Gà Nướng & Chè Kem Đài Loan Online - Đại Học Hà Nội",6.9,6.9,6.8,7.1,6.7,6.9
Chill - Tiệm Trà Chanh - Trấn Vũ,9.5,9.2,9.3,9.2,8.8,9.2
Vua Bún Mọc - Thái Thịnh,6.5,6.9,6.0,5.9,6.2,6.3
Bánh Cuốn Nóng - Nguyễn Bỉnh Khiêm,6.9,7.7,7.7,6.5,6.3,7.0
Thạch Dừa Bảo Anh,8.4,9.5,9.5,9.2,8.1,9.0
Chè Bốn Mùa - Xuân La,7.0,7.0,5.0,6.0,5.0,6.0
"Papa Chicken - Gà Rán, Cơm Gà & Cơm Văn Phòng - Phùng Hưng",9.0,8.0,9.0,9.0,8.0,8.6
Ohioo - Thịt Xiên Nướng & Nước Ép - Shop Online,7.9,8.7,9.3,8.6,8.1,8.5
Taiwan Food - Shop Online,7.5,7.8,6.8,7.3,7.3,7.3
Bánh Mì Phố - Trần Bình Trọng,8.3,8.3,8.3,8.3,8.3,8.3
Tào Phớ ToFu - Nguyễn Du,6.8,7.0,6.8,6.9,6.3,6.8
Bún Ziu Gánh,7.2,7.5,8.0,7.5,6.7,7.4
Lẩu Phi - Bia Hơi Hà Nội,9.0,8.0,10.0,10.0,7.0,8.8
Hẻm Bia: Lost In HongKong,9.4,9.4,9.6,9.4,9.4,9.4
Letefe Cafe,7.0,7.0,7.0,7.0,7.0,7.0
BaBa Ao Quê - Nguyễn Chí Thanh,7.6,6.3,6.9,5.4,5.8,6.4
Thịnh Vượng - Chim Quay & Ăn Vặt Ngon,7.0,4.4,4.9,4.9,4.9,5.2
Bún Đậu Trung Hương - Ngõ Phất Lộc,6.0,5.3,6.7,6.1,5.2,5.9
Fresh Garden Bakery - Ngụy Như Kon Tum,7.4,6.3,7.1,6.9,6.9,6.9
Xôi Bự - Lò Đúc,7.4,7.7,8.5,8.3,6.7,7.7
Quán Cây Si - Gà Tần & Cháo Chim,7.1,6.3,7.3,6.6,6.3,6.7
Lẩu Hương Thảo - Phùng Hưng,7.0,7.0,7.0,7.0,7.0,7.0
Nhà Hàng Lẩu Phát - Bà Triệu,7.6,7.1,7.2,6.1,6.9,7.0
Bêtô Bistro & Tealounge - Hai Bà Trưng,8.1,6.8,7.4,7.5,8.1,7.6
Gà Quay Lu 195,7.7,8.3,9.0,9.0,7.7,8.3
Hoa Viên Brauhaus - Nguyễn Biểu,7.5,6.5,8.0,8.0,8.0,7.6
"Bún Chả, Giả Cầy & Nem Cua Bể - Lý Thái Tổ",10.0,10.0,10.0,10.0,10.0,10.0
Bún Ốc - Lò Sũ,7.2,8.0,8.3,7.8,7.0,7.7
Trường Giang - Bánh Ngọt Paris,6.8,6.3,6.7,6.3,6.2,6.5
Món Ngon Quà Chiều,8.3,7.7,7.7,7.7,8.3,7.9
Daily Dose Coffee,7.0,6.7,5.9,5.7,7.0,6.5
Juicee Lab - A Sip Of Wellness,8.3,7.8,9.0,8.3,8.5,8.4
Chick Garden - Chè Khoai Dẻo - Nguyễn Ngọc Doãn,6.9,6.4,6.3,6.2,6.6,6.5
Tiramisu & Bông Lan Trứng Muối - Xã Đàn,8.2,7.9,7.9,8.3,7.2,7.9
Kem Thủy Tạ - Lương Yên,8.4,8.1,9.3,7.2,8.2,8.2
Chè XUKARY,6.6,7.8,7.9,7.2,5.9,7.1
Cơm Cháy Chà Bông Tý Chuột - Shop Online - Nguyễn Huy Tự,9.9,10.0,10.0,10.0,9.5,9.9
Miss Homemade - Miss Gà Khô - Food & Drink - Tam Khương,1.0,1.0,1.0,1.0,1.0,1.0
Min Hao Tea - Chùa Láng,7.2,7.5,7.6,7.5,7.2,7.4
Emptea Cup,9.0,10.0,10.0,10.0,9.0,9.6
Chè Ngon 73 - Khâm Thiên,5.8,5.3,4.9,4.9,5.3,5.2
Phở Cuốn Hương Mai,7.2,7.4,7.6,7.0,6.9,7.2
Chè Nhà Làm C6 - Chè & Caramen - Vũ Ngọc Phan,7.1,7.3,7.6,7.7,6.7,7.3
