Name,Position,Price,Quality,Service,Space,ZAvg_Score
"One Piece - Buffet, BBQ & Thai Hotpot - Thái Hà",6.8,6.2,5.6,5.6,5.9,6.0
Dũng Hạnh - Bánh Mì Giò Chả,6.7,6.9,6.8,6.3,6.3,6.6
Gà Rán Popeyes - Mac Plaza,7.3,6.8,5.8,6.6,7.4,6.8
Lê Lan - Bánh Đa Cua Gia Truyền,7.7,8.4,8.2,8.4,8.0,8.1
Gà Rán KFC - Hoàng Quốc Việt,7.2,6.3,6.0,6.1,6.9,6.5
Mad Society - Modern Asian Dining,8.5,8.0,9.5,9.5,9.5,9.0
Gu-i92 - Lẩu & Nướng Hàn Quốc - Tuệ Tĩnh,--,--,--,--,--,_._
Phở Cuốn Hương Mai - Duy Tân,8.0,8.0,8.0,8.0,8.0,8.0
Nhà Hàng Tiệc Cưới Lân Thủy,7.0,9.0,10.0,6.0,7.0,7.8
Kasami BBQ - Lẩu Nướng Nhật Bản,6.0,5.5,5.6,6.4,4.9,5.7
Bánh Mì Dân Tổ - Ao Sen,7.8,7.3,7.8,6.8,6.5,7.2
Bánh Khúc Quân - Cầu Gỗ,6.9,7.2,7.3,6.8,6.0,6.8
Súp Gà Thanh Hiền,8.0,8.0,8.5,8.5,6.5,7.9
Xôi Đêm - Giang Văn Minh,7.0,7.0,7.0,8.0,7.0,7.2
Hải Sản Bốn Mùa,10.0,8.0,10.0,7.0,7.0,8.4
Phương Anh - Các Món Ăn Vặt,7.6,7.2,8.6,7.8,7.4,7.7
Codonut - Kem Dừa Dâu Côn Đảo - Trần Phú,8.5,8.0,8.5,8.0,8.0,8.2
Caramello - Caramen & Đồ Ăn Vặt - Bạch Mai,7.5,7.3,7.1,6.7,7.4,7.2
Nga - Bánh Khúc,8.0,8.4,7.8,7.4,6.6,7.6
Gà Bó Xôi Sài Gòn 5k - Triều Khúc,10.0,10.0,10.0,10.0,10.0,10.0
Bánh Gà Bá Gành - Đường Láng,7.4,8.1,8.6,8.3,7.6,8.0
Hidden Gem Coffee,8.5,7.7,7.8,7.8,8.5,8.1
"Chi Bakery - Bánh Mì, Bánh Ngọt & Đồ Ăn Vặt Online",7.0,7.0,9.0,7.0,7.0,7.4
Bít Tết Ba Duy - Vạn Bảo,7.2,6.4,8.2,8.5,7.2,7.5
Thái Bình - Bánh Mì Doner Kebab,7.7,7.3,7.7,7.7,6.3,7.3
Ánh Tuyết - Bánh Mì Doner Kebab,8.0,8.0,7.8,8.4,5.8,7.6
Yihetang - Trà Sữa Nướng - Hoàng Văn Thái,2.3,2.3,1.0,1.0,2.3,1.8
Kichi Kichi Lẩu Băng Chuyền - Rice City Linh Đàm,8.7,8.5,8.9,9.0,8.7,8.7
Kichi Kichi Lẩu Băng Chuyền - Rice City Linh Đàm,8.7,8.5,8.9,9.0,8.7,8.7
Mập Quán - Hà Đông,8.0,9.4,9.8,9.8,9.4,9.3
Nướng Nhà Mắm - Lẩu & Nướng,7.5,7.7,7.6,7.1,7.7,7.5
Tin Tin - Cháo Sườn Sụn & Đồ Hàn Online,5.0,4.0,1.5,4.0,6.5,4.2
Tiệm Túk Tắk - Chè Xoài Hongkong,6.0,4.8,6.5,7.3,7.3,6.4
Ốc Ba Nghé - Nguyễn An Ninh,6.7,8.0,7.1,7.7,6.1,7.1
Bánh Đa Trộn & Bánh Đa Cua - Hàng Đồng,7.2,6.5,7.5,6.8,5.7,6.7
Master Tea 美茶 - Trần Quốc Hoàn,6.7,6.2,5.7,6.2,6.1,6.1
Long Tôm Hùm - Đặng Tiến Đông,8.0,9.0,9.0,9.0,3.0,7.6
"Thơm Juices, Smoothies N More - Chùa Láng",8.7,8.6,9.0,9.2,8.6,8.8
Vietnam 938 - Nhà Hàng Dã Sử - Núi Trúc,7.8,8.1,8.8,8.8,8.6,8.4
Duck Plus - Cơm Vịt Triều Châu,8.1,7.4,7.9,8.1,8.2,8.0
"Hương Phố - Bánh Bông Lan, Su Kem & Tiramisu",8.0,8.0,8.0,8.0,8.0,8.0
Sữa Chua Trân Châu Hạ Long - Trần Phú,7.0,7.0,8.0,7.0,7.0,7.2
Drop In Cafe - Hàng Lược,7.0,7.0,7.5,7.5,6.5,7.1
Trà Sữa Tocotoco - 259A Bạch Mai,6.7,6.6,6.3,6.4,6.5,6.5
TUNG Dining - Ẩm Thực Bắc Âu,8.0,5.5,8.8,8.0,8.8,7.8
Việt Crepe,8.8,8.6,8.4,8.6,7.4,8.4
Bà Thảo - Xôi Chả Cua & Chả Mực,7.4,6.5,7.2,6.3,6.2,6.7
Cake Bae - Tiệm Bánh Thơm Bơ Online,8.0,9.7,9.3,9.0,8.0,8.8
Wang Wang - Thịt Nướng Hàn Quốc - KĐT Gamuda - Commingsoon,8.3,8.3,7.3,8.3,9.0,8.3
Teen's Food - Đồ Ăn Vặt,6.7,7.0,6.1,6.4,6.1,6.5
Chị Nhung - Bún Cá & Cơm Rang,8.8,8.8,8.7,8.7,8.9,8.8
Chè Sầu Liên - Đường Láng,7.3,7.2,7.6,6.7,6.6,7.1
U Hườn Béo - Mì Trộn Indomie,8.8,9.7,9.3,9.5,8.0,9.1
Jin Sun Dae - Ẩm Thực Hàn Quốc,6.8,5.8,6.8,7.0,7.0,6.7
Oppa Bánh Mì - Shop Online,9.3,9.7,9.9,9.6,8.9,9.5
Tôm Karaoke - Bùi Thị Xuân,7.8,7.7,8.0,8.1,8.0,7.9
Bún Hải Sản 2S - Văn Quán,6.4,5.7,5.9,5.2,5.8,5.8
Huynh Đệ Quán - Thịt Dê Các Món,5.0,10.0,10.0,10.0,5.0,8.0
Nhà Hàng Gojumong - Keangnam Landmark,8.1,6.8,8.6,8.9,9.1,8.3
Phương Min - Bông Lan Trứng Muối Online,7.1,6.8,8.1,8.0,6.9,7.4
Phở Xào Phú Mỹ - Bát Đàn,7.2,6.7,7.9,7.1,5.9,7.0
Tati bakery - Trần Xuân Soạn,7.9,7.2,6.7,7.3,7.3,7.3
Lẩu Hơi UMAI,7.7,7.0,8.0,8.2,8.4,7.9
Bánh Mướt Xứ Nghệ - Định Công,7.0,7.0,8.0,7.0,8.0,7.4
Sinrybulgogi - Gà Rán & Cơm Trộn Hàn Quốc,8.7,8.5,8.5,8.7,9.0,8.7
Jeonbok - Nhà Hàng Hàn Quốc - Vincom Metropolis,10.0,8.3,9.7,9.7,9.3,9.4
Nhung - Lẩu Riêu Cua,6.5,6.5,7.0,5.5,5.5,6.2
Tùng Quẩy - Bò & Nầm Nướng,7.5,7.5,8.0,8.0,7.5,7.7
Lẩu Dzung - Bò Nầm Nướng & Món Thái,7.0,7.7,7.3,7.7,7.0,7.3
Lẩu Thái Eat House,5.0,4.0,3.0,5.0,5.5,4.5
Cheshi Hàn Quốc - Shop Online,6.8,7.1,8.2,7.9,6.5,7.3
Hữu Tài - Healthy Food Online,10.0,10.0,10.0,5.0,5.0,8.0
Bún Đậu - Ngõ Tràng Tiền,7.4,6.7,7.3,7.1,6.1,6.9
Nadar Cafe,8.0,8.0,8.0,8.0,8.0,8.0
Lẩu Nướng Thìn Béo - Đại Cồ Việt,6.9,7.8,6.6,8.1,6.8,7.2
Vịt 29 - Trần Nhật Duật,6.1,7.0,7.0,6.3,6.0,6.5
Ding Tea - Nguyễn Thị Định,6.4,6.1,6.2,6.2,6.2,6.2
Royaltea - Trung Kính,4.0,5.0,1.0,1.0,5.0,3.2
Royal Tea - Doãn Kế Thiện,5.1,5.8,5.1,5.4,5.9,5.5
Cơm Rang Gà Quay - Bà Triệu,7.1,6.7,7.0,6.8,6.2,6.8
Tasty Toasty - Bánh Mì Đắp Chăn,7.3,6.5,6.9,7.9,6.5,7.0
Sente - Local Flavor,7.4,6.3,6.8,7.9,8.3,7.3
Thanh Hằng - Chả Nhái Làng Khương Thượng,7.3,7.8,8.6,7.9,7.5,7.8
Lẩu & Nướng Gật Gù - Trần Đăng Ninh,5.8,3.5,3.5,3.2,3.8,4.0
KOMBO - Cơm Niêu Singapore - Kim Đồng,6.5,5.7,5.8,6.3,6.5,6.1
Trà Sữa Feeling Tea - IPH Xuân Thủy,7.4,7.5,6.6,6.7,6.3,6.9
Tiger Sugar - Trương Định,3.0,3.5,1.0,3.0,3.0,2.7
GoGi House - Nướng Hàn Quốc - Nguyễn Hoàng,8.5,7.8,8.5,8.2,8.6,8.3
Heekcaa - Park Hill Times City,7.4,6.2,6.0,6.9,7.2,6.7
Chè Anh Béo - Nguyễn Huy Tưởng,7.1,6.3,6.9,6.9,6.3,6.7
Sushidokoro Yutaka - Ẩm Thực Nhật Bản,7.3,7.4,8.5,6.3,7.4,7.4
Pao Quán - Đặc Sản Tây Bắc - Hà Trì,7.0,5.3,6.3,5.3,8.0,6.4
Cowboy Texas Beer Club,10.0,10.0,10.0,10.0,10.0,10.0
Mít Quán - Nguyễn Trãi,6.6,6.0,5.3,5.8,5.1,5.8
Phở Chiên Giòn 206 - Khâm Thiên,6.9,6.2,7.0,6.5,5.8,6.5
Nộm Phố - Tạ Quang Bửu,5.7,5.8,5.0,5.0,5.7,5.4
Thưởng - Bún Riêu Cua,3.0,1.0,1.0,1.0,1.0,1.4
Bò Nhúng Dấm 46 - Trần Vĩ,6.2,6.2,6.6,6.4,5.4,6.2
Bún Cá Thúy Béo - Mai Dịch,6.5,6.5,7.0,6.0,6.0,6.4
Cơm Thố Anh Nguyễn - Bà Triệu,7.8,7.3,7.5,7.5,7.4,7.5
Cơm Thố - Tạ Quang Bửu,6.7,7.5,8.1,7.3,6.8,7.3
Hương Béo - Bún Ngan & Miến Ngan,9.0,8.7,8.7,8.3,6.3,8.2
Mì Ốc Hến Anh Hy - Hàng Chuối,7.1,6.9,7.3,7.1,7.2,7.1
Bún Ốc Bà Ngoại,7.0,7.2,7.6,7.4,7.2,7.3
Saint Honoré - Ẩm Thực Pháp - Xuân Diệu,7.7,6.8,8.3,7.1,8.3,7.6
Gangnam Zone - Cafe & Bingsu,8.0,7.3,7.8,8.2,8.4,7.9
Cơm Thố Đà Nẵng - Duy Tân,1.0,1.0,1.0,1.0,1.0,1.0
Kichi Kichi Lẩu Băng Chuyền - Times City,8.9,8.8,9.0,9.2,8.9,9.0
Nét Huế - Nguyễn Chí Thanh,7.4,6.7,6.6,6.6,6.7,6.8
Mỏ Khoét Quán - Cơm Gà Sốt Cay Hàn Quốc - Nghĩa Tân,7.8,8.4,8.1,8.0,7.1,7.9
Bếp Nhà Pi - Ăn Vặt & Kimbap Online,6.3,6.0,6.3,6.1,5.8,6.1
Bếp Cô Lành - Vegan Food & Cake,8.5,8.3,8.0,8.3,8.0,8.2
Bornga Restaurant - Tân Mỹ,9.0,7.0,9.0,10.0,10.0,9.0
Chị Hoa - Cháo Trai Xứ Huế,6.8,7.2,7.7,6.9,6.2,6.9
Quỳnh Anh - Ăn Vặt Online,5.2,3.8,3.2,3.2,5.2,4.1
Cháo Sườn Sụn - Ô Chợ Dừa,6.8,7.4,7.2,7.4,6.0,6.9
Xôi Đêm Cô Thảo - Khâm Thiên,7.5,8.5,9.0,8.0,7.5,8.1
Bếp Mẹ Béo - Mì Trộn & Đồ Ăn Vặt Online,10.0,10.0,10.0,10.0,10.0,10.0
Bami King - Bánh Mì Bò Nướng - Thái Phiên,7.7,6.7,7.6,7.5,6.5,7.2
Highlands Coffee - Fivimart Mỹ Đình,7.3,6.3,7.5,7.0,5.8,6.8
San Hô - Hải Sản Tươi Sống,8.0,5.8,8.2,7.5,8.2,7.5
Lan Hậu - Bún Miến Ngan,7.3,7.3,7.5,7.3,6.8,7.2
Quẩy Nóng & Bánh Tiêu - Đường Thành,7.5,8.5,7.0,7.5,7.0,7.5
Cúc - Cháo Sườn Sụn - Hai Bà Trưng,8.0,7.2,8.4,7.0,7.4,7.6
Bếp Kay - Cơm Văn Phòng Online - Cự Lộc,1.7,1.7,1.6,1.6,1.5,1.6
Quán Ăn Đêm - Vũ Thạnh,7.0,8.0,7.0,8.0,7.0,7.4
Serein Cafe & Lounge,7.7,5.2,6.7,6.7,7.8,6.8
Cô Hòa - Quán Ăn Vặt,7.2,7.6,6.4,6.8,6.5,6.9
Phở 10 Lý Quốc Sư,7.6,6.3,7.5,6.7,6.6,6.9
Lẩu & Nướng Tự Do - Thiên Hiền,5.0,5.0,5.0,5.0,5.0,5.0
Mai Huơng - Bia Hơi Hà Nội & Các Món Nhậu,7.3,7.8,7.3,6.0,7.3,7.1
Aha Cafe - Phan Đình Phùng,8.0,8.0,8.0,7.0,8.0,7.8
Chou Cake - Bông Lan Trứng Muối Online,9.3,8.5,8.8,8.5,8.0,8.6
Anh Thư - Bánh Cuốn Cao Bằng,6.8,8.2,8.2,7.8,6.8,7.6
Tuấn - Cháo Lòng,3.0,1.0,3.0,2.0,2.0,2.2
Domum Steak - Hoàng Ngân,8.7,9.6,9.4,9.0,8.4,9.0
Hương Tròn - Mì Trộn Indomie & Đồ Ăn Vặt - Cầu Vồng,10.0,10.0,10.0,10.0,10.0,10.0
Xôi Cát Lâm - Đường Thành,7.3,6.4,6.9,6.8,6.8,6.8
Adela Bakery - An Bình City,7.5,7.5,7.0,7.0,6.5,7.1
Adela Bakery - Times City,8.0,5.5,4.0,4.5,5.5,5.5
Chị Bích - Cháo Sườn,8.0,9.0,10.0,7.0,7.0,8.2
Bánh Mì Sài Gòn,7.5,7.5,8.0,8.0,7.5,7.7
Mẹt Quà Khánh Long - Bánh Mì & Bánh Canh Giò Heo Sài Gòn,8.3,8.7,8.7,8.7,8.7,8.6
Ngon Ba Miền - Cá Lóc Nướng Trui,9.0,8.3,9.3,9.0,8.8,8.9
Nhà Huế - Đường CN3,5.0,10.0,10.0,10.0,5.0,8.0
Thịt Xiên Nướng - Chiến Thắng,8.2,8.2,8.4,8.6,8.4,8.4
Vịt Quay Ngọc Trâm - Lương Thế Vinh,10.0,10.0,10.0,10.0,10.0,10.0
Kang's Food - Korea Restaurant,7.9,7.6,8.5,9.3,7.9,8.2
Kang's Food - Korea Restaurant,7.9,7.6,8.5,9.3,7.9,8.2
Chén Cả Thế Giới - Các Món Ăn Vặt - Chính Kinh,7.1,8.2,7.9,7.7,7.0,7.6
Trà Sữa Pozaa Tea - Minh Khai,6.0,6.3,4.3,4.7,6.0,5.5
"Quán 36A - Bia Hơi Hà Nội, Chuyên Món Vịt",8.0,7.0,7.0,7.0,5.0,6.8
ThaiExpress - Vincom Bà Triệu,7.8,6.1,7.3,6.9,7.0,7.0
"Funny Monkey - Chè, Mì Cốc, Lẩu Cốc & Mẹt Ăn Vặt",6.8,6.8,6.5,6.6,6.0,6.5
Gogi House - Nướng Hàn Quốc - Linh Đàm,8.6,7.7,8.3,8.1,8.5,8.2
Chè & Nộm Bò Khô - Ngõ Chợ Khâm Thiên,6.5,6.0,6.0,6.5,6.5,6.3
Gogi House - Quán Nướng Hàn Quốc - Nguyễn Văn Lộc,4.8,5.3,5.3,5.3,5.4,5.2
Tuti - Bông Lan Trứng Muối Online,6.8,7.0,6.1,7.1,6.0,6.6
Thu Loan - Bánh Giò Online,6.7,7.3,5.4,7.3,6.4,6.6
Hoa Sữa Quán - Mì Gà Tần & Đồ Ăn Vặt,6.5,7.0,7.3,7.0,6.8,6.9
Buffet Sen Việt - Sahul Hà Nội,6.8,6.5,6.4,7.4,7.2,6.9
Queen Bee Bakery - Hòe Nhai,7.3,7.3,6.9,6.7,6.3,6.9
Jollibee - Tô Hiệu,6.9,6.5,6.6,6.4,6.6,6.6
Ngọc Linh Food - Quẩy Đùi Gà,9.3,9.5,9.7,9.6,9.2,9.4
"Bánh Gối, Há Cảo, Bánh Rán - Hàng Chiếu",5.9,7.2,6.9,6.7,5.8,6.5
Bún Ngan & Lẩu Nướng - Tây Sơn,6.9,7.7,7.6,7.3,6.8,7.2
Bếp Tâm An - Cơm & Ăn Vặt Online,9.0,9.4,9.7,9.4,9.1,9.3
Bún & Lẩu Riêu Cua - Vũ Trọng Phụng,9.0,8.6,9.2,8.8,9.2,9.0
Tiệm Bánh 365 - Bông Lan Trứng Muối - Shop Online,6.3,6.2,6.7,6.1,6.3,6.3
Steam Pot - Lẩu Xông Hơi,8.2,7.0,7.4,8.2,7.8,7.7
Lẩu Hít - Nguyễn Tư Giản,6.4,8.0,7.8,7.2,6.7,7.2
Trà Sữa Feeling Tea - Hai Bà Trưng,7.7,8.0,7.3,7.3,7.2,7.5
Bánh Cuốn Gia Truyền Ba Duy,9.0,10.0,10.0,9.8,8.4,9.4
Pappami - Lẩu Nướng Phiêu Lưu Ký - Đội Cấn,6.2,5.7,4.5,5.4,5.3,5.4
Cestsibon Cafe - Trung Hoà,8.3,7.4,8.3,7.5,8.6,8.0
Lẩu Dê Khô Thu Béo,10.0,9.9,10.0,10.0,10.0,10.0
Hải Sản Biển Đông - Royal City,7.0,7.3,7.8,7.8,6.5,7.3
Nhật Oanh - Buffet Lẩu & Lẩu Bạch Tuộc,6.5,4.5,4.5,5.3,6.5,5.5
Bánh Ngọt Hồng Kông - Hàng Lược,7.8,7.7,7.1,6.6,6.3,7.1
Sushi Kei - Giảng Võ,7.9,6.8,7.8,6.8,7.5,7.4
Bún Riêu Cua - An Hòa,7.0,8.0,8.0,8.0,8.0,7.8
Korean For Teen - Giảng Võ,6.1,5.9,6.5,7.1,6.7,6.5
Quán Chè Bà Lan Gia Truyền,7.4,7.3,7.1,6.8,7.0,7.1
Lẩu Lòng Bò - Khương Đình,8.0,8.5,8.5,8.0,8.0,8.2
The 1989 - Trà Sữa Muối Biển - Hồng Mai,6.6,8.3,6.9,6.8,5.9,6.9
Vinh Hoa Quán - Bánh Khọt,8.0,7.0,7.0,7.0,6.0,7.0
Mr. YAKI - nướng Tảng Nhật Hàn,7.3,6.6,6.0,6.8,6.5,6.6
Seoul Garden - Buffet Lẩu & Nướng Trần Hưng Đạo,7.7,6.2,7.3,6.9,7.1,7.0
Quán Nhà Khoai - Tào Phớ & Sữa Chua - Shop Online,10.0,9.9,10.0,9.9,8.9,9.7
Ô Mai Hồng Lam - Phạm Ngọc Thạch,8.0,8.0,8.0,8.0,7.0,7.8
The One Coffee - Cafe & Cơm Văn Phòng,1.0,1.0,1.0,1.0,1.0,1.0
Hutong - Hot Pot Paradise - Vincom Center Phạm Ngọc Thạch,8.3,7.8,8.4,8.3,8.4,8.2
Trà Sữa Bobapop - Phạm Ngọc Thạch,8.3,8.4,8.2,8.0,7.4,8.0
Paris Baguette - Hoàng Đạo Thúy,7.8,6.7,8.1,7.1,7.9,7.5
Brante - Bánh Mì Nghệ Nhân,10.0,10.0,10.0,10.0,10.0,10.0
Spaghetty Teddy,4.9,4.5,3.6,3.9,4.0,4.2
Fresh Garden Bakery - KĐT Xa La,5.0,6.0,4.0,5.0,6.0,5.2
Balcony Bar - Lê Thái Tổ,7.4,6.3,6.5,6.1,7.0,6.7
Bánh Mì Vợ Ong Vàng - Tây Sơn,7.3,8.1,7.6,7.3,6.2,7.3
Chè Nóng & Bánh Đa Kê - Thanh Xuân Bắc,7.5,8.0,8.0,8.0,7.5,7.8
Phát Đạt Bakery,7.5,8.5,7.0,7.0,6.8,7.4
Cơm Bếp Bống Phố Cổ,10.0,10.0,10.0,10.0,10.0,10.0
BUMTRO - Bún Trộn Nam Bộ - Chiến Thắng,9.5,9.5,10.0,10.0,10.0,9.8
Cháo & Bánh Giò Nóng - Trần Duy Hưng,7.0,9.0,8.0,8.0,6.0,7.6
Cowboy Jack's 500 Pizzeria,7.5,6.0,5.8,6.8,7.2,6.7
Bánh Trôi Tàu,6.6,7.4,7.9,7.4,6.9,7.2
Chị Nga - Bánh Đa Cua,6.0,6.0,6.0,6.0,6.0,6.0
Bánh Đa Cua - Dốc Tam Đa,5.4,6.0,6.9,5.8,4.7,5.8
Mai - Bún Ngan - Ngõ Hàng Đậu,7.3,8.3,8.7,7.3,7.7,7.9
Sữa Chua Trân Châu Cô Thỏ - Nguyễn Hoàng,9.3,9.7,9.7,9.6,9.6,9.6
Duy Tùng - Mì Trộn Indomie - Đông Tác,7.3,7.8,7.4,7.0,6.0,7.1
Nhà Hàng Cua Gạch - Xuân Đỉnh,5.0,5.5,5.5,5.5,5.5,5.4
Master Tea 美茶 - Nguyễn Văn Cừ,6.9,6.6,6.1,6.4,6.4,6.5
Mì Niêu Cay,6.4,7.6,6.7,5.8,5.8,6.5
Bay Chicken - Hàng Bún,7.8,7.2,8.2,9.0,8.5,8.1
Berlin Kebab,8.0,8.0,8.0,7.5,7.0,7.7
Sasin - Mì Cay 7 Cấp Độ Hàn Quốc - Phạm Tuấn Tài,7.0,6.6,6.5,6.3,6.6,6.6
KOMBO - Cơm Niêu Singapore - Nguyễn Phong Sắc,7.0,5.7,6.0,6.0,6.4,6.2
Maru Korean - Tiệm Đồ Ăn Hàn Quốc & Trà Sữa,7.4,6.4,6.3,6.4,7.3,6.8
Hoàng Huệ - Cơm Rang & Bún Bò Trộn - Ngõ Tự Do,5.0,6.3,5.0,5.0,5.0,5.3
Bún Đậu Gia Truyền Hà Thành - Tôn Đức Thắng,8.5,8.0,8.0,8.5,6.5,7.9
Bún Ốc Sườn Kết - Tô Hiệu,8.0,8.0,8.0,8.0,8.0,8.0
Cơm Thoong - Shop Online,10.0,10.0,10.0,10.0,10.0,10.0
Bún Cá Ngon - Mai Hắc Đế,8.0,7.3,8.0,7.7,7.3,7.7
Xôi Gia Phát,7.7,7.5,7.1,6.8,6.0,7.0
Quán Mê Tít - Hủ Tiếu & Bánh Canh - Shop Online,1.0,1.0,1.0,1.0,1.0,1.0
"Anh béo - Bún Bò, Hủ Tiếu & Bánh Đa Cá Trộn",6.9,7.4,7.8,7.9,6.4,7.3
Bún Bò Huế O Uông,6.8,6.9,7.0,7.0,6.1,6.8
Nhà Hàng Phương Nam - Món Ngon Miền Nam - Chùa Láng,6.7,6.5,7.3,7.0,6.7,6.8
XiaoBan Soya Singapore,7.3,7.1,7.5,7.6,7.1,7.3
Han Food - Mì Trộn Indomie - Shop Online,10.0,10.0,10.0,10.0,10.0,10.0
Soya Garden - Hoàng Đạo Thúy,3.0,4.0,1.0,5.0,5.0,3.6
Huyền - Bánh Cuốn Cao Bằng,5.8,6.4,5.2,5.2,5.2,5.6
Isushi AeonMall Hà Đông - Nhà Hàng Buffet Nhật Bản,9.2,8.3,8.4,8.5,9.0,8.7
Bún Ốc Bà Lương,5.8,6.4,7.1,6.5,6.0,6.4
BChef - Cơm Gà Chiên Mắm - Shop Online,8.8,7.6,7.6,8.2,8.4,8.1
Cháo Lòng - Khương Hạ,6.5,9.0,8.5,9.0,6.5,7.9
Ngọc Ngân - Ăn Vặt Online,10.0,5.5,5.5,5.5,5.5,6.4
Đức Long - Doner Kebab - Lương Ngọc Quyến,7.3,7.4,7.9,7.1,6.5,7.2
Cô Bích - Bánh Trôi Tàu,7.0,7.3,7.0,7.0,6.5,7.0
Chân Gà Nướng - Cao Đạt,8.0,7.0,7.0,7.5,6.5,7.2
Highlands Coffee - Fivimart Hà Đông,5.5,5.5,5.0,4.7,5.7,5.3
Ding Tea - Huỳnh Thúc Kháng,6.4,6.4,6.6,6.0,6.1,6.3
Tún Kitchen - Cơm Gà & Đồ Ăn Nhanh Online,5.7,6.0,4.0,4.0,5.3,5.0
Sữa Chua Bà Già - Ngọc Lâm,5.2,9.0,8.3,8.2,4.8,7.1
Ốc Nóng Bà Già,7.0,9.0,9.0,8.0,7.0,8.0
Bánh Bao - Ngõ Tôn Thất Thiệp,7.1,8.9,8.3,7.4,6.4,7.6
Thím Cường Quán - Lẩu Cua Sông,7.0,7.0,7.0,7.3,6.3,6.9
Soya Garden - Hapulico Vũ Trọng Phụng,7.6,5.7,7.3,6.7,7.6,7.0
Crepe Cake - Thành Công,7.5,7.5,7.0,7.0,6.0,7.0
Nước Mía Khổng Lồ - Nguyễn An Ninh,10.0,10.0,9.8,10.0,9.0,9.8
Chè Cô Bình - Văn Cao,5.8,4.5,3.7,4.3,4.7,4.6
Hoa Quả Dầm - Hàng Chỉ,7.4,7.2,8.1,7.8,7.3,7.6
La Badiane - Nam Ngư,8.2,6.8,8.8,8.2,8.7,8.1
BlackBall - Chè & Trà Sữa Đài Loan - Nguyễn Chí Thanh,8.2,6.7,7.2,7.2,7.9,7.4
"Lòng ""Chát"" - Tôn Thất Tùng",7.3,6.6,7.5,7.4,7.3,7.2
Lạp Xưởng Nhà Làm - Shop Online,9.0,9.0,9.0,8.5,9.0,8.9
Pharaoh's Bar & Upper - Lotte Hotels & Resorts Hanoi - Lotte Center,9.0,7.2,7.6,7.6,8.8,8.0
Bò Nầm Nướng - 17A Hàng Cót,6.0,7.0,7.0,8.0,7.0,7.0
Bún Lòng & Cháo Lòng - Trương Định,6.5,8.8,8.5,8.0,6.3,7.6
Bò Nầm Nướng - Lê Thanh Nghị,6.5,7.3,6.9,6.6,6.1,6.7
Mr.Tin - Cháo Sườn Sụn & Cháo Trai - Bách Khoa,7.0,7.0,6.0,7.0,6.0,6.6
Cháo Sườn & Cháo Trai - An Dương,6.7,8.0,8.0,7.0,6.7,7.3
Nem Ốc & Chả Ốc - Phù Đổng Thiên Vương,6.1,4.4,5.0,5.6,5.0,5.2
Chè Bưởi Nam Định - Kim Ngưu,7.5,10.0,9.5,8.5,8.5,8.8
Tiệm Sữa Chua Ngon,7.9,7.1,6.4,6.7,6.7,7.0
Kem Swensen's - Aeon Mall Hà Đông,9.0,7.5,9.0,8.5,7.0,8.2
Bhochic HN - Bánh Ngọt & Đồ Hàn Online - Phan Văn Trường,9.5,9.0,6.5,6.0,5.5,7.3
Dồi Sụn Nướng - Chợ Ngọc Lâm,7.0,8.0,8.0,7.0,6.0,7.2
Giang Cún - Cơm Văn Phòng & Bún Đậu Mẹt,8.2,8.1,7.7,8.5,6.9,7.9
Aha Cafe - Hàng Buồm,8.2,7.7,7.4,7.2,7.8,7.7
Tiger Sugar Delivery - Đường Nâu Sữa Đài Loan - Thái Phiên,7.6,7.7,7.4,7.5,7.4,7.5
Quán Ăn Huế - Huỳnh Thúc Kháng,7.0,6.0,6.3,6.3,6.3,6.4
O Sim - Bún Bò Huế - Kim Mã,7.4,7.0,7.4,7.8,7.6,7.4
Bánh Gối & Bánh Tôm - Nguyễn Hữu Huân,7.0,6.8,7.2,6.8,6.5,6.9
Sữa Chua Trân Châu Hạ Long - Bạch Mai,7.8,7.3,7.8,7.7,7.3,7.6
Nhà Hàng Âu Fabrik - Trấn Vũ,8.7,8.0,9.7,8.7,9.7,8.9
Xiên Xiên Que 2k,8.0,8.0,9.0,8.0,8.0,8.2
Thịt Xiên Nướng 2k - Tôn Thất Tùng,7.2,8.4,7.0,7.2,6.7,7.3
Lucky Restaurant & Coffee,7.4,6.6,7.4,7.4,7.7,7.3
Lòng Lợn & Cháo Lòng Khương Đình - Quan Nhân,7.9,8.2,8.1,8.0,7.6,7.9
Thúy An - Xoài Cóc Bao Tử & Đồ Ăn Vặt Online - Pháo Đài Láng,9.0,10.0,10.0,10.0,8.5,9.5
Hanoi Trộn Lên - Bún Phở Trộn Online,8.0,7.2,8.0,7.0,7.5,7.5
Hương Quê - Lẩu & Nướng,6.7,7.0,6.0,5.7,7.0,6.5
Vịt Lữ Béo,6.7,6.6,7.8,6.6,6.0,6.8
Nhất Nhất - Buffet Nướng Lẩu Đài Loan - Triều Khúc,7.3,7.0,6.8,6.8,7.3,7.0
Trang Bống - Lẩu Ếch & Lẩu Riêu,5.0,1.0,1.0,1.0,7.0,3.0
Zô Nguyễn - Lẩu & Nướng Không Khói,5.8,5.8,4.0,4.1,4.5,4.9
Cột Điện Quán - Bánh Mì Chảo - Đặng Văn Ngữ,7.3,7.1,7.0,6.7,6.8,7.0
"Thịt Xiên Nướng, Sữa Đậu & Đồ Ăn Vặt - Láng Hạ",7.0,7.0,7.0,8.0,6.5,7.1
